codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899298692164;Webcam WCI1080P FULL HD 60 FPS Intelbras;https://intelbras.vtexassets.com/arquivos/ids/173502-800-auto?v=638762825729900000&width=800&height=auto&aspect=true;11.5;11.4;6.7;cm;0.142;Kg
7896637643177;WebCam USB Intelbras CAM-1080p;https://intelbras.vtexassets.com/arquivos/ids/158838-800-auto?v=637381888500070000&width=800&height=auto&aspect=true;11.64;5.71;4.83;cm;0.085;kg
7899298632993;Webcam CAM HD 720p com Microfone e Clip Universal Intelbras;https://intelbras.vtexassets.com/arquivos/ids/164852-800-auto?v=637880402041570000&width=800&height=auto&aspect=true;7;5.5;4.7;cm;0.12;Kg
7899298661023;Switch Não Gerenciável 5 portas Fast SF 500 Hi-PoE Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172986-800-auto?v=638653750254500000&width=800&height=auto&aspect=true;13;8.5;2.6;cm;300;g
7896637677561;Switch Intelbras 8p fast com vlan fixa e anti-surto - SF 800 VLAN ULTRA;;;;;;;
7896637647137;Switch 8 Portas Fast SF 800 Q+ Preto Intelbras;;;;;;;
7899298657101;Switch Não Gerenciavel 8 Portas SG 800 Q+ CKD Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167782-800-auto?v=638145886698570000&width=800&height=auto&aspect=true;14;7.5;2.6;cm;;
7899298628583;Teclado com Fio TCI 10 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/168633-800-auto?v=638192399927330000&width=800&height=auto&aspect=true;42;12.5;2.2;cm;0.45;kg
7899298631750;Kit Mouse e Teclado com Fio CCI 20 Intelbras;;;;;;;
7899298622659;Kit Teclado e Mouse sem Fio CSI50 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/163435-800-auto?v=637788805945030000&width=800&height=auto&aspect=true;44.3;13.3;10.7;6.2;3.8;1.4
7899298615774;Teclado TSI50 Sem Fio Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/163194-800-auto?v=637770045779370000&width=800&height=auto&aspect=true;44.3;13.3;1.4;cm;0.48;kg
7896637678506;Kit Telefone sem Fio Intelbras + Ramal TS 2512;https://intelbras.vtexassets.com/arquivos/ids/167990-800-auto?v=638162132506930000&width=800&height=auto&aspect=true;15;9.8;8.5;cm;0.46;Kg
7896637696029;Telefone IP TDMI 400 POE Intelbras;;;;;;;
7896637601412;Telefone Celular Fixo 4G com Wi-Fi Intelbras CFW 9041;https://intelbras.vtexassets.com/arquivos/ids/158360-800-auto?v=637303471751600000&width=800&height=auto&aspect=true;20;18.5;6.5;cm;0.704;kg
7896637601405;Telefone Celular Fixo 2G Intelbras CF 4202N;https://intelbras.vtexassets.com/arquivos/ids/162568-800-auto?v=637704401292570000&width=800&height=auto&aspect=true;20;19.5;9;cm;0.705;kg
7896637673501;Telefone Celular Fixo Intelbras CF 6031;https://intelbras.vtexassets.com/arquivos/ids/168072-800-auto?v=638162944933470000&width=800&height=auto&aspect=true;25;23;17.8;cm;0.68;Kg
7896637622738;Telefone com Identificador de chamadas TC 60 ID Preto Intelbras;;;;;;;
7896637637961;Telefone Headset com Microfone Cancelador de Ruídos HSB 50 Preto Intelbras;;;;;;;
7896637680325;Telefone IP Intelbras TIP 120i;https://intelbras.vtexassets.com/arquivos/ids/158064-800-auto?v=637251621215800000&width=800&height=auto&aspect=true;15;15;14.5;cm;0.782;kg
7896637683289;Telefone IP Intelbras TIP 125i;https://intelbras.vtexassets.com/arquivos/ids/168221-800-auto?v=638173459031770000&width=800&height=auto&aspect=true;15;15;14.5;cm;0.782;kg
7896637621366;Telefone IP  V5501 Preto Intelbras;;;;;;;
7896637609388;Telefone com Fio Intelbras Pleno sem chave Cinza;https://intelbras.vtexassets.com/arquivos/ids/168027-800-auto?v=638162246908430000&width=800&height=auto&aspect=true;18;13.5;8.2;cm;0.375;Kg
7896637609296;Telefone com Fio Intelbras Pleno sem chave Preto;https://intelbras.vtexassets.com/arquivos/ids/168028-800-auto?v=638162249030030000&width=800&height=auto&aspect=true;18;13.5;8.2;cm;0.375;Kg
7896637678513;Kit Telefone sem Fio + Dois Ramais Adicionais Intelbras TS 2513;https://intelbras.vtexassets.com/arquivos/ids/168010-800-auto?v=638162171694700000&width=800&height=auto&aspect=true;15;9.8;8.5;cm;0.677;Kg
7896637680226;Ramal Sem Fio Digital TS 3111 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/168061-800-auto?v=638162901553930000&width=800&height=auto&aspect=true;16;10.5;10;cm;0.305;Kg
7896637638340;Ramal sem Fio Digital Intelbras TS 3111 Preto;https://intelbras.vtexassets.com/arquivos/ids/167999-800-auto?v=638162151200070000&width=800&height=auto&aspect=true;15.5;9.8;8.5;cm;0.249;Kg
7896637678490;Ramal sem fio Intelbras TS 2511;https://intelbras.vtexassets.com/arquivos/ids/167994-800-auto?v=638162142558370000&width=800&height=auto&aspect=true;15;9.8;8.5;4.5;3.7;2.8
7896637678483;Telefone Sem Fio Digital TS 2510 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/168480-800-auto?v=638187972982370000&width=800&height=auto&aspect=true;15;8.5;5;4;cm;0.243
7896637662598;Telefone sem Fio TS 3110 Branco Intelbras;;;;;;;
7896637638333;Telefone sem Fio Intelbras TS 3110 Preto;;;;;;;
7896637680233;Combo Telefone sem fio + Ramal Intelbras TS 3112 Branco;https://intelbras.vtexassets.com/arquivos/ids/156194-800-auto?v=637066520316230000&width=800&height=auto&aspect=true;16;10.5;10;cm;0.542;kg
7896637639262;Telefone sem Fio Digital com Secretária Eletrônica Intelbras TS 3130;https://intelbras.vtexassets.com/arquivos/ids/156199-800-auto?v=637066541370970000&width=800&height=auto&aspect=true;16.2;14.8;9.6;cm;0.36;Kg
7896637647588;Telefone Sem Fio Digital TS 5120 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/165148-800-auto?v=637915011137900000&width=800&height=auto&aspect=true;16;10.5;10;cm;0.317;Kg
7896637670562;Telefone Sem Fio TS 5150 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/156228-800-auto?v=637066595510200000&width=800&height=auto&aspect=true;16.1;14.8;9.6;cm;0.389;Kg
7899298603979;Sirene Smart ISI 1001 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/169345-800-auto?v=638285672651100000&width=800&height=auto&aspect=true;8;8;3.5;cm;0.178;kg
7899298642305;KIT Parabólica Digital Intelbras SAT 800 (Banda KU);;;;;;;
7899298660910;Smart TV Box FULL HD Intelbras;;;;;;;
7899298660903;Smart TV Stick Full HD Intelbras;;;;;;;
7899298661221;Switch Não Gerenciavel 16 PORTAS Intelbras GB S1016G;https://intelbras.vtexassets.com/arquivos/ids/169207-800-auto?v=638279718876970000&width=800&height=auto&aspect=true;28.5;19.8;8;cm;0.49;kg
7899298680352;Switch Não Gerenciavel 16 portas Gigabit S1116G Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172916-800-auto?v=638651282925930000&width=800&height=auto&aspect=true;44;15.5;4.37;cm;1.86;kg
7899298680895;Switch Não Gerenciavel 24 Portas Fast S1126F-PA Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172890-800-auto?v=638651175269130000&width=800&height=auto&aspect=true;44;22;4.4;cm;2.36;kg
7899298685012;Switch Não Gerenciavel 28 portas Gigabit S1128G-PA Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172936-800-auto?v=638651286077900000&width=800&height=auto&aspect=true;44;22;4.4;cm;2.485;kg
7899298680475;Switch Não Gerenciavel 24 portas Gigabit S1124G Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172777-800-auto?v=638639913410170000&width=800&height=auto&aspect=true;44;15.5;4.37;cm;1.96;Kg
7896637679404;Switch PoE Reverso Intelbras 8 Portas Fast  1 Porta Gigabit SF 910 PAC;;;;;;;
7896637675147;Switch 16 Portas Poe SF 1600 Q+;https://intelbras.vtexassets.com/arquivos/ids/157110-800-auto?v=637080602021800000&width=800&height=auto&aspect=true;28.5;11.6;2.8;0.54;;
7899298637943;Switch Não Gerenciável 16 Portas Fast e 2 Portas SFP SF 1822 HI PoE Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172989-800-auto?v=638653831888200000&width=800&height=auto&aspect=true;44;30;4.4;cm;1.98;kg
7896637602969;Rádio Comunicador Intelbras RC 4002;;;;;;;
7896637698917;Radio Comunicador Intelbras RC 4102;;;;;;;
7896637674942;Ramal Externo Sem Fio TIS 5000 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/163618-800-auto?v=637798421734200000&width=800&height=auto&aspect=true;16;10.5;10;cm;0.317;Kg
7899298651055;Receptor Digital de TV via Satélite C/Gravador Intelbras RDS 840;https://intelbras.vtexassets.com/arquivos/ids/166064-800-auto?v=638001543991200000&width=800&height=auto&aspect=true;11.5;10;2.4;cm;0.116;kg
7899298660880;Receptor Digital de TV via Satélite C/Gravador Intelbras RDS 830;https://intelbras.vtexassets.com/arquivos/ids/171242-800-auto?v=638536478098230000&width=800&height=auto&aspect=true;11.5;10;2.4;cm;0.116;kg
7899298643326;Roteador Empresarial Wi-Fi 5 de Alta Velocidade AP 1350 AC-S Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167958-800-auto?v=638161292402800000&width=800&height=auto&aspect=true;17.8;17.8;3.8;cm;0.37;kg
7899298665496;Roteador Empresarial Wi-Fi 6 de Alto Desempenho Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/170135-800-auto?v=638381685733670000&width=800&height=auto&aspect=true;18.55;18.55;3.4;cm;0.58;kg
7899298672715;Extensor Wi-Fi 5 Twibi Force Plug Giga Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172671-800-auto?v=638633228568600000&width=800&height=auto&aspect=true;14.85;8;5.5;cm;0.11;g
7899298626114;Extensor Wi-Fi 5 Dual Band Twibi Force Plug Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167213-800-auto?v=638120878591830000&width=800&height=auto&aspect=true;14.85;8;5.5;cm;0.11;kg
7899298610922;Roteador Wi-Force W4-300F Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167910-800-auto?v=638161200127630000&width=800&height=auto&aspect=true;19;19;14.8;cm;0.345;kg
7899298626268;Roteador Wi-Fi 5 de Alto Desempenho W5-1200G Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167950-800-auto?v=638161284659970000&width=800&height=auto&aspect=true;27.8;22;16.2;cm;0.459;kg
